"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
pn_st_12,microbiology_results,,text,Serotype,,,,,,,"[pn_result_12] = 3",,,,,,
micro_lab_12,microbiology_results,,radio,"Sent to Central Lab","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_12] < 6 and [isolate_identified_12(30)] = '1'",,,,,,
pen_susceptibility_12,microbiology_results,,checkbox,"Penicillin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_12] = 2 or [pn_result_12] = 3",,,,,,
septrin_susceptibility_12,microbiology_results,,checkbox,"Co-trimoxazole (Trimethorpim/Sulfamethoxazole) Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_12] = 2 or [pn_result_12] = 3",,,,,,
doxy_susceptibility_12,microbiology_results,,checkbox,"Doxycycline Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_12] = 2 or [pn_result_12] = 3",,,,,,
levoflox_suscept_12,microbiology_results,,checkbox,"Levofloxacin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_12] = 2 or [pn_result_12] = 3",,,,,,
cef_susceptibility_12,microbiology_results,,checkbox,"Ceftriaxone Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_12] = 2 or [pn_result_12] = 3",,,,,,
pn_uat_result_12,microbiology_results,,radio,"Pneumococcal urinary antigen test result (BinaxNOW)","1, Negative|2, Positive",,,,,,"[micro_test_12] = '7'",y,,,,,
lg_uat_result_12,microbiology_results,,radio,"Legionella urinary antigen test result","1, Negative|2, Positive",,,,,,"[micro_test_12] = '8'",y,,,,,
micro_final_report_12,microbiology_results,,yesno,"Is this the final report?",,,,,,,"[micro_test_12] = '1' or [micro_test_12] = '2' or [micro_test_12] = '3' or [micro_test_12] = '4' or [micro_test_12] = '5' or [micro_test_12] = '6'",y,,,,,
micro_report_header_12,microbiology_results,,descriptive,"<div class=""red"";><i><span style=""font-weight:normal;font-color:red;font-size:112%"">If final report has not been received, mark form as unverified and amend entries if necessary, once the final report is received. ",,,,,,,"[micro_final_report_12] = '0'",,,,,,
microtest_done_13,microbiology_results,,yesno,"Add another?",,,,,,,[microtest_done_12]=1,,RH,,,,
microday_13,microbiology_results,,text,"Days from admission to Micro Test 13",,,,,,,[microtest_done_13]=1,,,,,,
micro_test_13,microbiology_results,,radio,"Microbiology Test Type","1, Blood culture|2, Sputum|3, Respiratory swab|4, Pleural fluid|5, Bronchoalveolar lavage|6, Tracheal Aspirate|7, Urinary antigen  - pneumococcus|8, Urinary antigen - legionella",,,,,,[microtest_done_13]=1,y,,,,,
micro_isolates_13,microbiology_results,,radio,"<div class=""rich-text-field-label""><p>Isolates Identified?</p> <p><span style=""font-weight: normal;"">(pathogens only)</span></p></div>","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_13] = '1' or [micro_test_13] = '2' or [micro_test_13] = '3' or [micro_test_13] = '4' or [micro_test_13] = '5' or [micro_test_13] = '6'",,,,,,
isolate_identified_13,microbiology_results,,checkbox,"Isolate Name","1, Aspergillus|2, Streptococcus Agalactiae|3, Candida|4, Achromobacter Xylosoxidans|5, Bacteroides|6, Bacteroides fragilis|7, Bacteroides ovatus|8, Bacteroides uniformis|9, Burholderia cepacia|10, Citrobacter freundii complex|11, Citrobacter koseri|12, Clostridium perfringens|13, Eggerthella lenta|14, Enterobacter aerogenes|15, Enterobacter cloacae|16, Enterococcus faecalis|17, Enterococcus faecium|18, Escherichia coli|19, Haemophilus influenzae|20, Haemophilus parainfluenzae|21, Klebsiella oxytoca|22, Klebsiella pneumoniae|23, Morganella morganii|24, Peptostreptococcus anaerobius|25, Proteus mirabilis|26, Pseudomonas aeruginosa|27, Serratia marcescens|28, Staphylcoccus aureus|29, Streptococcus anginosus|30, Streptococcus pneumoniae|31, Streptococcus salivarius group|32, Stenotrophomonas maltophilia|33, Acinetobacter|34, Aspergillus niger|35, Bacillus|36, Candida albicans|37, Candida glabrata|38, Candida tropicalis|39, Coagulase negative staphylcoccus|40, Corynebacterium|41, Enterococcus|42, Gram positive coccus|43, Klebsiella|44, Legionella pneumoniae|45, MRSA|46, MSSA|47, Moraxella catarrhalis|48, Mycobacterium tuberculosis|49, Pneumocytis jirovecii|50, Pseudomonas|51, Pseudomonas fluorescens|52, Staphylcoccus|53, Staphylococcus capitis|54, Staphylococcus epidermidis|55, Staphylococcus hominis|56, Streptococcus|57, Streptococcus beta-hemolytic|58, Streptococcus pyogenes|59, Streptococcus viridans|60, Yeast|61, Other",,,,,,"[micro_isolates_13] = '1'",,,,,,
micro_other_13,microbiology_results,,text,"If other, please specify",,,,,,,"[isolate_identified_13(61)] = '1'",,,,,,
pn_result_13,microbiology_results,,radio,"Pneumococcal result","1, Not tested/no result|2, Non-typable|3, Serotype obtained",,,,,,"[isolate_identified_13(30)] = 1",,,,,,
pn_st_13,microbiology_results,,text,Serotype,,,,,,,"[pn_result_13] = 3",,,,,,
micro_lab_13,microbiology_results,,radio,"Sent to Central Lab","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_13] < 6 and [isolate_identified_13(30)] = '1'",,,,,,
pen_susceptibility_13,microbiology_results,,checkbox,"Penicillin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_13] = 2 or [pn_result_13] = 3",,,,,,
septrin_susceptibility_13,microbiology_results,,checkbox,"Co-trimoxazole (Trimethorpim/Sulfamethoxazole) Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_13] = 2 or [pn_result_13] = 3",,,,,,
doxy_susceptibility_13,microbiology_results,,checkbox,"Doxycycline Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_13] = 2 or [pn_result_13] = 3",,,,,,
levoflox_suscept_13,microbiology_results,,checkbox,"Levofloxacin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_13] = 2 or [pn_result_13] = 3",,,,,,
cef_susceptibility_13,microbiology_results,,checkbox,"Ceftriaxone Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_13] = 2 or [pn_result_13] = 3",,,,,,
pn_uat_result_13,microbiology_results,,radio,"Pneumococcal urinary antigen test result (BinaxNOW)","1, Negative|2, Positive",,,,,,"[micro_test_13] = '7'",y,,,,,
lg_uat_result_13,microbiology_results,,radio,"Legionella urinary antigen test result","1, Negative|2, Positive",,,,,,"[micro_test_13] = '8'",y,,,,,
micro_final_report_13,microbiology_results,,yesno,"Is this the final report?",,,,,,,"[micro_test_13] = '1' or [micro_test_13] = '2' or [micro_test_13] = '3' or [micro_test_13] = '4' or [micro_test_13] = '5' or [micro_test_13] = '6'",y,,,,,
micro_report_header_13,microbiology_results,,descriptive,"<div class=""red"";><i><span style=""font-weight:normal;font-color:red;font-size:112%"">If final report has not been received, mark form as unverified and amend entries if necessary, once the final report is received. ",,,,,,,"[micro_final_report_13] = '0'",,,,,,
microtest_done_14,microbiology_results,,yesno,"Add another?",,,,,,,[microtest_done_13]=1,,RH,,,,
microday_14,microbiology_results,,text,"Days from admission to Micro Test 14",,,,,,,[microtest_done_14]=1,,,,,,
micro_test_14,microbiology_results,,radio,"Microbiology Test Type","1, Blood culture|2, Sputum|3, Respiratory swab|4, Pleural fluid|5, Bronchoalveolar lavage|6, Tracheal Aspirate|7, Urinary antigen  - pneumococcus|8, Urinary antigen - legionella",,,,,,[microtest_done_14]=1,y,,,,,
micro_isolates_14,microbiology_results,,radio,"<div class=""rich-text-field-label""><p>Isolates Identified?</p> <p><span style=""font-weight: normal;"">(pathogens only)</span></p></div>","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_14] = '1' or [micro_test_14] = '2' or [micro_test_14] = '3' or [micro_test_14] = '4' or [micro_test_14] = '5' or [micro_test_14] = '6'",,,,,,
isolate_identified_14,microbiology_results,,checkbox,"Isolate Name","1, Aspergillus|2, Streptococcus Agalactiae|3, Candida|4, Achromobacter Xylosoxidans|5, Bacteroides|6, Bacteroides fragilis|7, Bacteroides ovatus|8, Bacteroides uniformis|9, Burholderia cepacia|10, Citrobacter freundii complex|11, Citrobacter koseri|12, Clostridium perfringens|13, Eggerthella lenta|14, Enterobacter aerogenes|15, Enterobacter cloacae|16, Enterococcus faecalis|17, Enterococcus faecium|18, Escherichia coli|19, Haemophilus influenzae|20, Haemophilus parainfluenzae|21, Klebsiella oxytoca|22, Klebsiella pneumoniae|23, Morganella morganii|24, Peptostreptococcus anaerobius|25, Proteus mirabilis|26, Pseudomonas aeruginosa|27, Serratia marcescens|28, Staphylcoccus aureus|29, Streptococcus anginosus|30, Streptococcus pneumoniae|31, Streptococcus salivarius group|32, Stenotrophomonas maltophilia|33, Acinetobacter|34, Aspergillus niger|35, Bacillus|36, Candida albicans|37, Candida glabrata|38, Candida tropicalis|39, Coagulase negative staphylcoccus|40, Corynebacterium|41, Enterococcus|42, Gram positive coccus|43, Klebsiella|44, Legionella pneumoniae|45, MRSA|46, MSSA|47, Moraxella catarrhalis|48, Mycobacterium tuberculosis|49, Pneumocytis jirovecii|50, Pseudomonas|51, Pseudomonas fluorescens|52, Staphylcoccus|53, Staphylococcus capitis|54, Staphylococcus epidermidis|55, Staphylococcus hominis|56, Streptococcus|57, Streptococcus beta-hemolytic|58, Streptococcus pyogenes|59, Streptococcus viridans|60, Yeast|61, Other",,,,,,"[micro_isolates_14] = '1'",,,,,,
micro_other_14,microbiology_results,,text,"If other, please specify",,,,,,,"[isolate_identified_14(61)] = '1'",,,,,,
pn_result_14,microbiology_results,,radio,"Pneumococcal result","1, Not tested/no result|2, Non-typable|3, Serotype obtained",,,,,,"[isolate_identified_14(30)] = 1",,,,,,
pn_st_14,microbiology_results,,text,Serotype,,,,,,,"[pn_result_14] = 3",,,,,,
micro_lab_14,microbiology_results,,radio,"Sent to Central Lab","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_14] < 6 and [isolate_identified_14(30)] = '1'",,,,,,
pen_susceptibility_14,microbiology_results,,checkbox,"Penicillin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_14] = 2 or [pn_result_14] = 3",,,,,,
septrin_susceptibility_14,microbiology_results,,checkbox,"Co-trimoxazole (Trimethorpim/Sulfamethoxazole) Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_14] = 2 or [pn_result_14] = 3",,,,,,
doxy_susceptibility_14,microbiology_results,,checkbox,"Doxycycline Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_14] = 2 or [pn_result_14] = 3",,,,,,
levoflox_suscept_14,microbiology_results,,checkbox,"Levofloxacin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_14] = 2 or [pn_result_14] = 3",,,,,,
cef_susceptibility_14,microbiology_results,,checkbox,"Ceftriaxone Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_14] = 2 or [pn_result_14] = 3",,,,,,
pn_uat_result_14,microbiology_results,,radio,"Pneumococcal urinary antigen test result (BinaxNOW)","1, Negative|2, Positive",,,,,,"[micro_test_14] = '7'",y,,,,,
lg_uat_result_14,microbiology_results,,radio,"Legionella urinary antigen test result","1, Negative|2, Positive",,,,,,"[micro_test_14] = '8'",y,,,,,
micro_final_report_14,microbiology_results,,yesno,"Is this the final report?",,,,,,,"[micro_test_14] = '1' or [micro_test_14] = '2' or [micro_test_14] = '3' or [micro_test_14] = '4' or [micro_test_14] = '5' or [micro_test_14] = '6'",y,,,,,
micro_report_header_14,microbiology_results,,descriptive,"<div class=""red"";><i><span style=""font-weight:normal;font-color:red;font-size:112%"">If final report has not been received, mark form as unverified and amend entries if necessary, once the final report is received. ",,,,,,,"[micro_final_report_14] = '0'",,,,,,
microtest_done_15,microbiology_results,,yesno,"Add another?",,,,,,,[microtest_done_14]=1,,RH,,,,
microday_15,microbiology_results,,text,"Days from admission to Micro Test 15",,,,,,,[microtest_done_15]=1,,,,,,
micro_test_15,microbiology_results,,radio,"Microbiology Test Type","1, Blood culture|2, Sputum|3, Respiratory swab|4, Pleural fluid|5, Bronchoalveolar lavage|6, Tracheal Aspirate|7, Urinary antigen  - pneumococcus|8, Urinary antigen - legionella",,,,,,[microtest_done_15]=1,y,,,,,
micro_isolates_15,microbiology_results,,radio,"<div class=""rich-text-field-label""><p>Isolates Identified?</p> <p><span style=""font-weight: normal;"">(pathogens only)</span></p></div>","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_15] = '1' or [micro_test_15] = '2' or [micro_test_15] = '3' or [micro_test_15] = '4' or [micro_test_15] = '5' or [micro_test_15] = '6'",,,,,,
isolate_identified_15,microbiology_results,,checkbox,"Isolate Name","1, Aspergillus|2, Streptococcus Agalactiae|3, Candida|4, Achromobacter Xylosoxidans|5, Bacteroides|6, Bacteroides fragilis|7, Bacteroides ovatus|8, Bacteroides uniformis|9, Burholderia cepacia|10, Citrobacter freundii complex|11, Citrobacter koseri|12, Clostridium perfringens|13, Eggerthella lenta|14, Enterobacter aerogenes|15, Enterobacter cloacae|16, Enterococcus faecalis|17, Enterococcus faecium|18, Escherichia coli|19, Haemophilus influenzae|20, Haemophilus parainfluenzae|21, Klebsiella oxytoca|22, Klebsiella pneumoniae|23, Morganella morganii|24, Peptostreptococcus anaerobius|25, Proteus mirabilis|26, Pseudomonas aeruginosa|27, Serratia marcescens|28, Staphylcoccus aureus|29, Streptococcus anginosus|30, Streptococcus pneumoniae|31, Streptococcus salivarius group|32, Stenotrophomonas maltophilia|33, Acinetobacter|34, Aspergillus niger|35, Bacillus|36, Candida albicans|37, Candida glabrata|38, Candida tropicalis|39, Coagulase negative staphylcoccus|40, Corynebacterium|41, Enterococcus|42, Gram positive coccus|43, Klebsiella|44, Legionella pneumoniae|45, MRSA|46, MSSA|47, Moraxella catarrhalis|48, Mycobacterium tuberculosis|49, Pneumocytis jirovecii|50, Pseudomonas|51, Pseudomonas fluorescens|52, Staphylcoccus|53, Staphylococcus capitis|54, Staphylococcus epidermidis|55, Staphylococcus hominis|56, Streptococcus|57, Streptococcus beta-hemolytic|58, Streptococcus pyogenes|59, Streptococcus viridans|60, Yeast|61, Other",,,,,,"[micro_isolates_15] = '1'",,,,,,
micro_other_15,microbiology_results,,text,"If other, please specify",,,,,,,"[isolate_identified_15(61)] = '1'",,,,,,
pn_result_15,microbiology_results,,radio,"Pneumococcal result","1, Not tested/no result|2, Non-typable|3, Serotype obtained",,,,,,"[isolate_identified_15(30)] = 1",,,,,,
pn_st_15,microbiology_results,,text,Serotype,,,,,,,"[pn_result_15] = 3",,,,,,
micro_lab_15,microbiology_results,,radio,"Sent to Central Lab","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_15] < 6 and [isolate_identified_15(30)] = '1'",,,,,,
pen_susceptibility_15,microbiology_results,,checkbox,"Penicillin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_15] = 2 or [pn_result_15] = 3",,,,,,
septrin_susceptibility_15,microbiology_results,,checkbox,"Co-trimoxazole (Trimethorpim/Sulfamethoxazole) Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_15] = 2 or [pn_result_15] = 3",,,,,,
doxy_susceptibility_15,microbiology_results,,checkbox,"Doxycycline Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_15] = 2 or [pn_result_15] = 3",,,,,,
levoflox_suscept_15,microbiology_results,,checkbox,"Levofloxacin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_15] = 2 or [pn_result_15] = 3",,,,,,
cef_susceptibility_15,microbiology_results,,checkbox,"Ceftriaxone Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_15] = 2 or [pn_result_15] = 3",,,,,,
pn_uat_result_15,microbiology_results,,radio,"Pneumococcal urinary antigen test result (BinaxNOW)","1, Negative|2, Positive",,,,,,"[micro_test_15] = '7'",y,,,,,
lg_uat_result_15,microbiology_results,,radio,"Legionella urinary antigen test result","1, Negative|2, Positive",,,,,,"[micro_test_15] = '8'",y,,,,,
micro_final_report_15,microbiology_results,,yesno,"Is this the final report?",,,,,,,"[micro_test_15] = '1' or [micro_test_15] = '2' or [micro_test_15] = '3' or [micro_test_15] = '4' or [micro_test_15] = '5' or [micro_test_15] = '6'",y,,,,,
micro_report_header_15,microbiology_results,,descriptive,"<div class=""red"";><i><span style=""font-weight:normal;font-color:red;font-size:112%"">If final report has not been received, mark form as unverified and amend entries if necessary, once the final report is received. ",,,,,,,"[micro_final_report_15] = '0'",,,,,,
microtest_done_16,microbiology_results,,yesno,"Add another?",,,,,,,[microtest_done_15]=1,,RH,,,,
microday_16,microbiology_results,,text,"Days from admission to Micro Test 16",,,,,,,[microtest_done_16]=1,,,,,,
micro_test_16,microbiology_results,,radio,"Microbiology Test Type","1, Blood culture|2, Sputum|3, Respiratory swab|4, Pleural fluid|5, Bronchoalveolar lavage|6, Tracheal Aspirate|7, Urinary antigen  - pneumococcus|8, Urinary antigen - legionella",,,,,,[microtest_done_16]=1,y,,,,,
micro_isolates_16,microbiology_results,,radio,"<div class=""rich-text-field-label""><p>Isolates Identified?</p> <p><span style=""font-weight: normal;"">(pathogens only)</span></p></div>","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_16] = '1' or [micro_test_16] = '2' or [micro_test_16] = '3' or [micro_test_16] = '4' or [micro_test_16] = '5' or [micro_test_16] = '6'",,,,,,
isolate_identified_16,microbiology_results,,checkbox,"Isolate Name","1, Aspergillus|2, Streptococcus Agalactiae|3, Candida|4, Achromobacter Xylosoxidans|5, Bacteroides|6, Bacteroides fragilis|7, Bacteroides ovatus|8, Bacteroides uniformis|9, Burholderia cepacia|10, Citrobacter freundii complex|11, Citrobacter koseri|12, Clostridium perfringens|13, Eggerthella lenta|14, Enterobacter aerogenes|15, Enterobacter cloacae|16, Enterococcus faecalis|17, Enterococcus faecium|18, Escherichia coli|19, Haemophilus influenzae|20, Haemophilus parainfluenzae|21, Klebsiella oxytoca|22, Klebsiella pneumoniae|23, Morganella morganii|24, Peptostreptococcus anaerobius|25, Proteus mirabilis|26, Pseudomonas aeruginosa|27, Serratia marcescens|28, Staphylcoccus aureus|29, Streptococcus anginosus|30, Streptococcus pneumoniae|31, Streptococcus salivarius group|32, Stenotrophomonas maltophilia|33, Acinetobacter|34, Aspergillus niger|35, Bacillus|36, Candida albicans|37, Candida glabrata|38, Candida tropicalis|39, Coagulase negative staphylcoccus|40, Corynebacterium|41, Enterococcus|42, Gram positive coccus|43, Klebsiella|44, Legionella pneumoniae|45, MRSA|46, MSSA|47, Moraxella catarrhalis|48, Mycobacterium tuberculosis|49, Pneumocytis jirovecii|50, Pseudomonas|51, Pseudomonas fluorescens|52, Staphylcoccus|53, Staphylococcus capitis|54, Staphylococcus epidermidis|55, Staphylococcus hominis|56, Streptococcus|57, Streptococcus beta-hemolytic|58, Streptococcus pyogenes|59, Streptococcus viridans|60, Yeast|61, Other",,,,,,"[micro_isolates_16] = '1'",,,,,,
micro_other_16,microbiology_results,,text,"If other, please specify",,,,,,,"[isolate_identified_16(61)] = '1'",,,,,,
pn_result_16,microbiology_results,,radio,"Pneumococcal result","1, Not tested/no result|2, Non-typable|3, Serotype obtained",,,,,,"[isolate_identified_16(30)] = 1",,,,,,
pn_st_16,microbiology_results,,text,Serotype,,,,,,,"[pn_result_16] = 3",,,,,,
micro_lab_16,microbiology_results,,radio,"Sent to Central Lab","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_16] < 6 and [isolate_identified_16(30)] = '1'",,,,,,
pen_susceptibility_16,microbiology_results,,checkbox,"Penicillin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_16] = 2 or [pn_result_16] = 3",,,,,,
septrin_susceptibility_16,microbiology_results,,checkbox,"Co-trimoxazole (Trimethorpim/Sulfamethoxazole) Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_16] = 2 or [pn_result_16] = 3",,,,,,
doxy_susceptibility_16,microbiology_results,,checkbox,"Doxycycline Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_16] = 2 or [pn_result_16] = 3",,,,,,
levoflox_suscept_16,microbiology_results,,checkbox,"Levofloxacin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_16] = 2 or [pn_result_16] = 3",,,,,,
cef_susceptibility_16,microbiology_results,,checkbox,"Ceftriaxone Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_16] = 2 or [pn_result_16] = 3",,,,,,
pn_uat_result_16,microbiology_results,,radio,"Pneumococcal urinary antigen test result (BinaxNOW)","1, Negative|2, Positive",,,,,,"[micro_test_16] = '7'",y,,,,,
lg_uat_result_16,microbiology_results,,radio,"Legionella urinary antigen test result","1, Negative|2, Positive",,,,,,"[micro_test_16] = '8'",y,,,,,
micro_final_report_16,microbiology_results,,yesno,"Is this the final report?",,,,,,,"[micro_test_16] = '1' or [micro_test_16] = '2' or [micro_test_16] = '3' or [micro_test_16] = '4' or [micro_test_16] = '5' or [micro_test_16] = '6'",y,,,,,
micro_report_header_16,microbiology_results,,descriptive,"<div class=""red"";><i><span style=""font-weight:normal;font-color:red;font-size:112%"">If final report has not been received, mark form as unverified and amend entries if necessary, once the final report is received. ",,,,,,,"[micro_final_report_16] = '0'",,,,,,
microtest_done_17,microbiology_results,,yesno,"Add another?",,,,,,,[microtest_done_16]=1,,RH,,,,
microday_17,microbiology_results,,text,"Days from admission to Micro Test 17",,,,,,,[microtest_done_17]=1,,,,,,
micro_test_17,microbiology_results,,radio,"Microbiology Test Type","1, Blood culture|2, Sputum|3, Respiratory swab|4, Pleural fluid|5, Bronchoalveolar lavage|6, Tracheal Aspirate|7, Urinary antigen  - pneumococcus|8, Urinary antigen - legionella",,,,,,[microtest_done_17]=1,y,,,,,
micro_isolates_17,microbiology_results,,radio,"<div class=""rich-text-field-label""><p>Isolates Identified?</p> <p><span style=""font-weight: normal;"">(pathogens only)</span></p></div>","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_17] = '1' or [micro_test_17] = '2' or [micro_test_17] = '3' or [micro_test_17] = '4' or [micro_test_17] = '5' or [micro_test_17] = '6'",,,,,,
isolate_identified_17,microbiology_results,,checkbox,"Isolate Name","1, Aspergillus|2, Streptococcus Agalactiae|3, Candida|4, Achromobacter Xylosoxidans|5, Bacteroides|6, Bacteroides fragilis|7, Bacteroides ovatus|8, Bacteroides uniformis|9, Burholderia cepacia|10, Citrobacter freundii complex|11, Citrobacter koseri|12, Clostridium perfringens|13, Eggerthella lenta|14, Enterobacter aerogenes|15, Enterobacter cloacae|16, Enterococcus faecalis|17, Enterococcus faecium|18, Escherichia coli|19, Haemophilus influenzae|20, Haemophilus parainfluenzae|21, Klebsiella oxytoca|22, Klebsiella pneumoniae|23, Morganella morganii|24, Peptostreptococcus anaerobius|25, Proteus mirabilis|26, Pseudomonas aeruginosa|27, Serratia marcescens|28, Staphylcoccus aureus|29, Streptococcus anginosus|30, Streptococcus pneumoniae|31, Streptococcus salivarius group|32, Stenotrophomonas maltophilia|33, Acinetobacter|34, Aspergillus niger|35, Bacillus|36, Candida albicans|37, Candida glabrata|38, Candida tropicalis|39, Coagulase negative staphylcoccus|40, Corynebacterium|41, Enterococcus|42, Gram positive coccus|43, Klebsiella|44, Legionella pneumoniae|45, MRSA|46, MSSA|47, Moraxella catarrhalis|48, Mycobacterium tuberculosis|49, Pneumocytis jirovecii|50, Pseudomonas|51, Pseudomonas fluorescens|52, Staphylcoccus|53, Staphylococcus capitis|54, Staphylococcus epidermidis|55, Staphylococcus hominis|56, Streptococcus|57, Streptococcus beta-hemolytic|58, Streptococcus pyogenes|59, Streptococcus viridans|60, Yeast|61, Other",,,,,,"[micro_isolates_17] = '1'",,,,,,
micro_other_17,microbiology_results,,text,"If other, please specify",,,,,,,"[isolate_identified_17(61)] = '1'",,,,,,
pn_result_17,microbiology_results,,radio,"Pneumococcal result","1, Not tested/no result|2, Non-typable|3, Serotype obtained",,,,,,"[isolate_identified_17(30)] = 1",,,,,,
pn_st_17,microbiology_results,,text,Serotype,,,,,,,"[pn_result_17] = 3",,,,,,
micro_lab_17,microbiology_results,,radio,"Sent to Central Lab","1, Yes|2, No|3, Unknown",,,,,,"[micro_test_17] < 6 and [isolate_identified_17(30)] = '1'",,,,,,
pen_susceptibility_17,microbiology_results,,checkbox,"Penicillin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_17] = 2 or [pn_result_17] = 3",,,,,,
septrin_susceptibility_17,microbiology_results,,checkbox,"Co-trimoxazole (Trimethorpim/Sulfamethoxazole) Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_17] = 2 or [pn_result_17] = 3",,,,,,
doxy_susceptibility_17,microbiology_results,,checkbox,"Doxycycline Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_17] = 2 or [pn_result_17] = 3",,,,,,
levoflox_suscept_17,microbiology_results,,checkbox,"Levofloxacin Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_17] = 2 or [pn_result_17] = 3",,,,,,
cef_susceptibility_17,microbiology_results,,checkbox,"Ceftriaxone Susceptibility","1, Unknown|2, Sensitive|3, Intermediate|4, Resistant",,,,,,"[pn_result_17] = 2 or [pn_result_17] = 3",,,,,,
pn_uat_result_17,microbiology_results,,radio,"Pneumococcal urinary antigen test result (BinaxNOW)","1, Negative|2, Positive",,,,,,"[micro_test_17] = '7'",y,,,,,
lg_uat_result_17,microbiology_results,,radio,"Legionella urinary antigen test result","1, Negative|2, Positive",,,,,,"[micro_test_17] = '8'",y,,,,,
micro_final_report_17,microbiology_results,,yesno,"Is this the final report?",,,,,,,"[micro_test_17] = '1' or [micro_test_17] = '2' or [micro_test_17] = '3' or [micro_test_17] = '4' or [micro_test_17] = '5' or [micro_test_17] = '6'",y,,,,,
micro_report_header_17,microbiology_results,,descriptive,"<div class=""red"";><i><span style=""font-weight:normal;font-color:red;font-size:112%"">If final report has not been received, mark form as unverified and amend entries if necessary, once the final report is received. ",,,,,,,"[micro_final_report_17] = '0'",,,,,,
microtest_done_18,microbiology_results,,yesno,"Add another?",,,,,,,[microtest_done_17]=1,,RH,,,,
microday_18,microbiology_results,,text,"Days from admission to Micro Test 18",,,,,,,[microtest_done_18]=1,,,,,,
micro_test_18,microbiology_results,,radio,"Microbiology Test Type","1, Blood culture|2, Sputum|3, Respiratory swab|4, Pleural fluid|5, Bronchoalveolar lavage|6, Tracheal Aspirate|7, Urinary antigen  - pneumococcus|8, Urinary antigen - legionella",,,,,,[microtest_done_18]=1,y,,,,,
